title,release_year,episodes,ratings,netflix,viki,prime_video,disney_plus
When My Love Blooms,2020,16,7.8,no,yes,no,no
Dr. Romantic 2,2020,16,8.7,yes,yes,no,no
The Game: Towards Zero,2020,16,7.8,no,no,no,no
Sweet Munchies,2020,12,6.8,no,yes,no,no
The Good Detective,2020,16,8.3,yes,yes,no,no
Missing: The Other Side,2020,12,8.6,yes,no,no,no
Train (Korean Drama),2020,12,8.3,no,yes,no,no
Eccentric! Chef Moon,2020,16,7.4,no,no,no,no
Love Revolution (Korean Drama),2020,20,8.1,no,yes,no,no
Born Again,2020,32,7.3,no,yes,no,no
The Flower of Evil,2020,16,9,yes,yes,no,no
Homemade Love Story,2020,50,7.7,yes,no,no,no
Private Lives,2020,16,7.4,yes,no,no,no
Itaewon Class,2020,16,8.4,yes,no,no,no
Voice 4: The Time of Judgment,2021,14,8.3,no,yes,no,no
Law School (Korean Drama),2021,16,8.6,yes,no,no,no
The All-Round Wife,2021,122,6.7,no,no,no,no
Be My Dream Family,2021,120,8,no,no,no,no
Idol: The Coup,2021,12,8.1,no,no,no,no
Navillera,2021,12,8.9,yes,no,no,no
The Road: The Tragedy of One,2021,12,7.2,no,no,no,no
Hospital Playlist 2,2021,12,9.1,yes,no,no,no
D.P.,2021,6,8.8,yes,no,no,no
Uncle (Korean Drama),2021,16,8.1,no,yes,no,no
L.U.C.A.: The Beginning,2021,12,7.3,no,no,no,no
Mouse,2021,23,8.9,no,yes,yes,no
"Now, We Are Breaking Up",2021,16,6.8,no,yes,no,no
The Great Shaman Ga Doo-Shim,2021,12,7.9,no,yes,no,no
Revolutionary Sisters,2021,50,7.3,yes,no,no,no
Taxi Driver (Korean Drama),2021,16,8.8,no,yes,no,no
Imitation (Korean Drama),2021,12,7.9,no,yes,no,no
You Raise Me Up,2021,8,7.7,no,yes,no,no
Mine (Korean Drama),2021,16,8.2,yes,no,no,no
The Devil Judge,2021,16,8.7,no,yes,no,no
Nevertheless,2021,10,7.4,yes,yes,no,no
Love ft. Marriage & Divorce Season 2,2021,16,7.4,yes,no,no,no
So I Married The Anti-Fan,2021,17,7.9,no,yes,no,no
One Ordinary Day,2021,8,8.4,no,no,no,no
Times (Korean Drama),2021,12,7.4,no,yes,no,no
Love ft. Marriage & Divorce,2021,16,6.9,yes,no,no,no
Adult Trainee,2021,7,7.7,no,no,no,no
Monthly Magazine Home,2021,16,7.6,no,yes,no,no
Scripting Your Destiny,2021,16,7.8,no,no,no,no
Reflection of You,2021,16,7.3,yes,no,no,no
Our Beloved Summer,2021,16,8.6,yes,no,no,no
Lovers of the Red Sky,2021,17,8.2,no,yes,no,no
Snowdrop,2021,16,8.4,no,no,no,yes
Pumpkin Time,2021,10,7.6,no,no,no,no
Show Window: The Queen's House,2021,16,7.5,no,yes,no,no
Bulgasal: Immortal Souls,2021,16,8.2,yes,no,no,no
The Killer's Shopping List,2022,8,8,no,yes,no,no
May I Help You,2022,16,8.2,no,no,yes,no
Weak Hero Class 1,2022,8,8.8,yes,no,no,no
Green Mothers' Club,2022,16,7.6,yes,no,no,no
The Fabulous (Netflix),2022,8,7.5,yes,no,no,no
My Military Valentine,2024,12,6.9,no,yes,no,no
Anna (Korean Drama),2022,6,7.8,no,no,no,no
Yonder,2022,6,7.4,no,no,no,no
Behind Every Star,2022,12,7.5,yes,no,no,no
Business Proposal,2022,12,8.7,yes,no,no,no
The Love in Your Eyes,2022,123,7.5,no,no,no,no
Extraordinary Attorney Woo,2022,16,8.8,yes,no,no,no
Gaus Electronics,2022,12,8.3,no,yes,no,no
Adamas (Korean Drama),2022,16,7.6,no,no,no,yes
Twenty-five Twenty-one,2022,16,8.8,yes,no,no,no
Hit the Spot,2022,8,8.2,no,yes,no,no
Love ft. Marriage & Divorce Season 3,2022,16,6.9,yes,no,no,no
Alchemy of Souls,2022,20,9.1,yes,no,no,no
Red Balloon,2022,20,7.3,no,no,no,no
