Kdramas_dataset_modificado
title;release_year;episodes;ratings;original_network;netflix;viki;prime_video;disney_plus;hbo_max;apple_tv;disponible_en_chile
Vagabond;2019;16;8.5;SBS;yes;no;no;no;no;no;yes
King Maker: The Change of Destiny;2020;21;7.7;TV Chosun;no;no;no;no;no;no;no
More than Friends;2020;16;7.3;JTBC;no;yes;no;no;no;no;yes
Alice (Korean Drama);2020;16;7.4;SBS;no;yes;no;no;no;no;yes
Kkondae Intern;2020;24;7.8;MBC;no;no;no;no;no;no;no
The World of the Married;2020;16;8.3;JTBC;no;no;no;no;no;no;no
Man in a Veil;2020;105;7.1;KBS2;no;no;no;no;no;no;no
Chip In;2020;8;7.8;MBC;no;no;no;no;no;no;no
Find Me in Your Memory;2020;16;8.2;MBC;no;no;no;no;no;no;no
She Knows Everything;2020;4;7.1;MBC;no;no;no;no;no;no;no
Brilliant Heritage;2020;122;7.3;KBS1;no;no;no;no;no;no;no
When the Weather is Fine;2020;16;8.2;JTBC;yes;yes;no;no;no;no;yes
Lie After Lie;2020;16;8.3;Channel A;no;yes;no;no;no;no;yes
Do You Like Brahms?;2020;16;8.0;SBS;no;yes;no;no;no;no;yes
True Beauty;2020;16;8.3;tvN;yes;yes;no;no;no;no;yes
Kingdom Season 2;2020;6;8.9;Netflix;no;no;no;no;no;no;no
A Piece of Your Mind;2020;12;8.1;tvN;no;yes;no;no;no;no;yes
Into the Ring;2020;16;8.1;KBS2;no;no;no;no;no;no;no
When My Love Blooms;2020;16;7.8;tvN;no;yes;no;no;no;no;yes
Dr. Romantic 2;2020;16;8.7;SBS;yes;yes;no;no;no;no;yes
The Game: Towards Zero;2020;16;7.8;MBC;no;no;no;no;no;no;no
Sweet Munchies;2020;12;6.8;JTBC;no;yes;no;no;no;no;yes
The Good Detective;2020;16;8.3;JTBC;yes;yes;no;no;no;no;yes
Missing: The Other Side;2020;12;8.6;OCN;yes;no;no;no;no;no;yes
Train (Korean Drama);2020;12;8.3;OCN;no;yes;no;no;no;no;yes
Eccentric! Chef Moon;2020;16;7.4;Channel A;no;no;no;no;no;no;no
Love Revolution (Korean Drama);2020;20;8.1;KakaoTV;no;yes;no;no;no;no;yes
Born Again;2020;32;7.3;KBS2;no;yes;no;no;no;no;yes
The Flower of Evil;2020;16;9.0;tvN;yes;yes;no;no;no;no;yes
Homemade Love Story;2020;50;7.7;KBS2;yes;no;no;no;no;no;yes
Private Lives;2020;16;7.4;JTBC;yes;no;no;no;no;no;yes
Itaewon Class;2020;16;8.4;JTBC;yes;no;no;no;no;no;yes
Voice 4: The Time of Judgment;2021;14;8.3;tvN;no;yes;no;no;no;no;yes
Law School (Korean Drama);2021;16;8.6;JTBC;yes;no;no;no;no;no;yes
The All-Round Wife;2021;122;6.7;KBS1;no;no;no;no;no;no;no
Be My Dream Family;2021;120;8.0;KBS1;no;no;no;no;no;no;no
Idol: The Coup;2021;12;8.1;JTBC;no;no;no;no;no;no;no
Navillera;2021;12;8.9;tvN;yes;no;no;no;no;no;yes
The Road: The Tragedy of One;2021;12;7.2;tvN;no;no;no;no;no;no;no
Hospital Playlist 2;2021;12;9.1;tvN;yes;no;no;no;no;no;yes
D.P.;2021;6;8.8;Netflix;yes;no;no;no;no;no;yes
Uncle (Korean Drama);2021;16;8.1;TV Chosun;no;yes;no;no;no;no;yes
L.U.C.A.: The Beginning;2021;12;7.3;tvN;no;no;no;no;no;no;no
Mouse;2021;23;8.9;tvN;no;yes;yes;no;no;no;yes
Now, We Are Breaking Up;2021;16;6.8;SBS;no;yes;no;no;no;no;yes
The Great Shaman Ga Doo-Shim;2021;12;7.9;KakaoTV;no;yes;no;no;no;no;yes
Revolutionary Sisters;2021;50;7.3;KBS2;yes;no;no;no;no;no;yes
Taxi Driver (Korean Drama);2021;16;8.8;SBS;no;yes;no;no;no;no;yes
Imitation (Korean Drama);2021;12;7.9;KBS2;no;yes;no;no;no;no;yes
You Raise Me Up;2021;8;7.7;Wavve;no;yes;no;no;no;no;yes
Mine (Korean Drama);2021;16;8.2;tvN;yes;no;no;no;no;no;yes
The Devil Judge;2021;16;8.7;tvN;no;yes;no;no;no;no;yes
Nevertheless;2021;10;7.4;JTBC;yes;yes;no;no;no;no;yes
Love ft. Marriage & Divorce Season 2;2021;16;7.4;TV Chosun;yes;no;no;no;no;no;yes
So I Married The Anti-Fan;2021;17;7.9;Naver TV;no;yes;no;no;no;no;yes
One Ordinary Day;2021;8;8.4;Coupang Play;no;no;no;no;no;no;no
Times (Korean Drama);2021;12;7.4;OCN;no;yes;no;no;no;no;yes
Love ft. Marriage & Divorce;2021;16;6.9;TV Chosun;yes;no;no;no;no;no;yes
Adult Trainee;2021;7;7.7;TVING;no;no;no;no;no;no;no
Monthly Magazine Home;2021;16;7.6;JTBC;no;yes;no;no;no;no;yes
Scripting Your Destiny;2021;16;7.8;TVING;no;no;no;no;no;no;no
Reflection of You;2021;16;7.3;JTBC;yes;no;no;no;no;no;yes
Our Beloved Summer;2021;16;8.6;SBS;yes;no;no;no;no;no;yes
Lovers of the Red Sky;2021;17;8.2;SBS;no;yes;no;no;no;no;yes
Snowdrop;2021;16;8.4;JTBC;no;no;no;yes;no;no;yes
Pumpkin Time;2021;10;7.6;KakaoTV;no;no;no;no;no;no;no
Show Window: The Queen's House;2021;16;7.5;Channel A;no;yes;no;no;no;no;yes
Bulgasal: Immortal Souls;2021;16;8.2;tvN;yes;no;no;no;no;no;yes
The Killer's Shopping List;2022;8;8.0;tvN;no;yes;no;no;no;no;yes
May I Help You;2022;16;8.2;MBC;no;no;yes;no;no;no;yes
Weak Hero Class 1;2022;8;8.8;Wavve;yes;no;no;no;no;no;yes
Green Mothers' Club;2022;16;7.6;JTBC;yes;no;no;no;no;no;yes
The Fabulous (Netflix);2022;8;7.5;Netflix;yes;no;no;no;no;no;yes
My Military Valentine;2024;12;6.9;Viki;no;yes;no;no;no;no;yes
Anna (Korean Drama);2022;6;7.8;Coupang Play;no;no;no;no;no;no;no
Yonder;2022;6;7.4;TVING;no;no;no;no;no;no;no
Behind Every Star;2022;12;7.5;tvN;yes;no;no;no;no;no;yes
Business Proposal;2022;12;8.7;SBS;yes;no;no;no;no;no;yes
The Love in Your Eyes;2022;123;7.5;KBS1;no;no;no;no;no;no;no
Extraordinary Attorney Woo;2022;16;8.8;ENA;yes;no;no;no;no;no;yes
Gaus Electronics;2022;12;8.3;ENA;no;yes;no;no;no;no;yes
Adamas (Korean Drama);2022;16;7.6;tvN;no;no;no;yes;no;no;yes
Twenty-five Twenty-one;2022;16;8.8;tvN;yes;no;no;no;no;no;yes
Hit the Spot;2022;8;8.2;Coupang Play;no;yes;no;no;no;no;yes
Love ft. Marriage & Divorce Season 3;2022;16;6.9;TV Chosun;yes;no;no;no;no;no;yes
Alchemy of Souls;2022;20;9.1;tvN;yes;no;no;no;no;no;yes
Red Balloon;2022;20;7.3;TV Chosun;no;no;no;no;no;no;no
Never Give Up (Korean Drama);2022;16;7.9;ENA;yes;no;no;no;no;no;yes
Work Later, Drink Now 2;2022;12;8.1;TVING;no;no;no;no;no;no;no
Revenge of Others;2022;12;8.5;Disney+;no;no;no;yes;no;no;yes
New Normal Zine;2022;12;6.8;TVING;no;no;no;no;no;no;no
All of Us Are Dead;2022;12;8.6;Netflix;yes;no;no;no;no;no;yes
Game of Witches;2022;119;6.9;MBC;no;no;no;no;no;no;no
Vengeance of the Bride;2022;102;7.1;KBS2;no;no;no;no;no;no;no
Grid (Korean Drama);2022;10;7.5;Disney+;no;no;no;yes;no;no;yes
Through the Darkness;2022;12;8.7;SBS;yes;yes;no;no;no;no;yes
Bloody Heart;2022;16;8.2;KBS2;no;no;no;no;no;no;no
No, Thank You 2;2022;12;7.5;KakaoTV;no;no;no;no;no;no;no
Bad Prosecutor;2022;12;8.2;KBS2;no;yes;no;no;no;no;yes
Shadow Detective;2022;8;7.9;Disney+;no;no;no;yes;no;no;yes
The Good Detective 2;2022;16;8.2;JTBC;yes;yes;no;no;no;no;yes
Kiss Sixth Sense;2022;12;8.0;Disney+;no;no;no;yes;no;no;yes
The Forbidden Marriage;2022;12;8.3;MBC;no;no;no;no;no;no;no
Connect (2022);2022;6;7.7;Disney+;no;no;no;yes;no;no;yes
Under The Queen's Umbrella;2022;16;9.0;tvN;yes;no;no;no;no;no;yes
Blind (Korean Drama);2022;16;8.6;tvN;no;no;no;no;no;no;no
Dr. Park's Clinic;2022;12;7.6;TVING;no;no;no;no;no;no;no
Again My Life;2022;16;8.3;SBS;no;yes;no;no;no;no;yes
Apple of My Eye;2023;121;6.8;KBS1;no;no;no;no;no;no;no
Korea-Khitan War;2023;32;8.0;KBS2;yes;no;no;no;no;no;yes
The Worst Of Evil;2023;12;8.6;Disney+;no;no;no;yes;no;no;yes
Payback: Money and Power;2023;12;7.7;SBS;no;no;yes;no;no;no;yes
The Deal (Korean Drama);2023;8;7.8;Wavve;no;yes;no;no;no;no;yes
CEO-dol Mart;2023;10;7.5;TVING;no;yes;no;no;no;no;yes
Bitch and Rich;2023;10;7.7;Wavve;yes;yes;no;no;no;no;yes
Castaway Diva;2023;12;8.3;tvN;yes;no;no;no;no;no;yes
My Lovely Liar;2023;16;8.2;tvN;no;yes;no;no;no;no;yes
Black Knight (Netflix);2023;6;8.2;Netflix;yes;no;no;no;no;no;yes
Woman in a Veil;2023;103;6.8;KBS2;no;no;no;no;no;no;no
Twinkling Watermelon;2023;16;9.2;tvN;yes;yes;no;no;no;no;yes
True to Love;2023;14;8.1;ENA;no;no;no;no;no;no;no
Vigilante (Korean Drama);2023;8;8.5;Disney+;no;no;no;yes;no;no;yes
The Real Has Come;2023;50;7.3;KBS2;yes;yes;no;no;no;no;yes
Durian's Affair;2023;16;7.2;TV Chosun;no;no;no;no;no;no;no
Agency (Korean Drama);2023;16;8.2;JTBC;yes;yes;no;no;no;no;yes
Brain Works;2023;16;8.0;KBS2;yes;yes;no;no;no;no;yes
Lies Hidden in My Garden;2023;8;7.7;ENA;no;yes;no;no;no;no;yes
My Perfect Stranger;2023;16;8.6;KBS2;no;no;no;no;no;no;no
Behind Your Touch;2023;16;8.1;JTBC;yes;no;no;no;no;no;yes
The Kidnapping Day;2023;12;8.6;ENA;no;no;yes;no;no;no;yes
